regiao_hidrografica,codigo_imasul,data_coleta,hora,aluminio_total_mg_L_Al,bario_total_mg_L_Ba,cadmio_total_mg_L_Cd,chumbo_total_mg_L_Pb,cobre_total_mg_L_Cu,cromo_total_mg_L_Cr,ferro_total_mg_L_Fe,manganes_total_mg_L_Mn,mercurio_total_mg_L_Hg,niquel_total_mg_L_Ni,zinco_total_mg_L_Zn
PARANÁ,00MS13AB0019,13/04/2011,09:00,1.0,0.1,<LQ,<LQ,0.006,<LQ,0.7,<LQ,N/A,0.020,<LQ
PARANÁ,00MS13AB0019,15/08/2013,08:30,0.2,0.1,<LQ,<LQ,<LQ,<LQ,13.6,<LQ,<LQ,<LQ,0.15
PARANÁ,00MS13AB0019,18/03/2014,09:20,N/A,N/A,<LQ,<LQ,0.010,0.05,1197.3,<LQ,N/A,<LQ,<LQ
PARANÁ,00MS13AB0019,05/06/2014,08:00,N/A,N/A,<LQ,<LQ,0.014,<LQ,2.8,<LQ,N/A,N/A,0.05
PARANÁ,00MS13AB0019,09/09/2014,08:30,N/A,N/A,<LQ,<LQ,<LQ,<LQ,2.0,0.1,N/A,N/A,<LQ
PARANÁ,00MS13AB0019,08/11/2016,08:54,0.5,N/A,<LQ,0.05,0.005,0.05,1.0,0.2,0.0002,N/A,0.10
PARANÁ,00MS13AB0019,07/02/2017,08:54,0.2,0.1,<LQ,0.05,0.005,0.05,0.9,0.1,0.0002,<LQ,0.12
PARANÁ,00MS13AB0019,11/05/2017,12:06,<LQ,<LQ,<LQ,0.05,0.005,0.05,0.2,<LQ,0.0002,<LQ,0.10
PARANÁ,00MS13AB0019,08/08/2017,10:06,N/A,<LQ,<LQ,0.05,0.005,0.05,0.2,<LQ,0.0002,<LQ,0.10
PARANÁ,00MS13AB0019,13/11/2017,09:35,N/A,N/A,<LQ,0.05,0.005,0.05,0.6,<LQ,0.0002,<LQ,0.10
PARANÁ,00MS13AB0019,08/02/2018,10:05,N/A,N/A,<LQ,0.05,0.005,0.05,0.5,0.2,0.0002,<LQ,0.10
PARANÁ,00MS13AB0019,08/05/2018,14:06,0.2,N/A,0.005,0.02,0.679,0.03,1.2,0.3,0.0002,<LQ,0.01
PARANÁ,00MS13AB0019,02/08/2018,14:18,N/A,N/A,0.005,0.02,0.007,0.03,0.6,N/A,0.0002,<LQ,0.01
PARANÁ,00MS13AB0019,06/11/2018,13:10,0.1,N/A,0.005,0.02,0.011,0.03,0.5,N/A,0.0002,N/A,0.01
PARANÁ,00MS13AB0019,07/02/2019,09:55,0.1,<LQ,0.015,0.02,0.078,0.11,2.2,0.3,0.0002,N/A,0.02
PARANÁ,00MS13AB0019,07/05/2019,14:02,0.1,N/A,0.005,0.02,0.005,0.03,1.2,0.1,0.0002,0.080,0.01
PARANÁ,00MS13AB0019,06/08/2019,12:45,0.1,N/A,0.005,0.02,0.005,0.03,0.4,0.1,0.0002,0.020,0.01
PARANÁ,00MS13AB0019,05/11/2019,14:00,1.0,N/A,0.005,0.02,0.005,0.03,5.7,N/A,0.0002,0.020,0.01
PARANÁ,00MS13AB0019,04/02/2020,13:30,0.1,N/A,0.008,0.25,0.010,0.03,0.8,0.1,0.0002,N/A,0.04
PARANÁ,00MS13AB0019,02/12/2021,13:45,0.1,N/A,0.005,0.02,0.005,0.03,1.4,N/A,0.0002,0.080,0.01
PARANÁ,00MS13AB0019,03/03/2022,13:13,0.8,0.0,0.005,0.02,0.031,0.03,2.9,0.2,N/A,N/A,0.07
PARANÁ,00MS13AB0019,01/06/2022,15:30,0.2,0.0,0.005,0.02,0.005,0.03,0.7,0.1,N/A,0.020,0.01
PARANÁ,00MS13AB0019,01/09/2022,13:59,0.1,0.0,0.005,0.02,0.009,0.03,1.7,0.1,N/A,0.020,0.01
PARANÁ,00MS13AB2000,13/04/2011,11:30,5.0,0.0,<LQ,<LQ,0.019,<LQ,4.2,<LQ,N/A,0.020,0.03
PARANÁ,00MS13AB2000,15/08/2013,13:00,0.6,0.1,<LQ,<LQ,0.007,<LQ,0.8,0.1,<LQ,<LQ,<LQ
PARANÁ,00MS13AB2000,18/03/2014,12:40,N/A,N/A,<LQ,<LQ,0.022,0.07,5.7,0.3,N/A,<LQ,<LQ
PARANÁ,00MS13AB2000,05/06/2014,10:20,N/A,N/A,<LQ,<LQ,0.042,<LQ,14.5,0.2,N/A,N/A,0.03
PARANÁ,00MS13AB2000,09/09/2014,10:10,N/A,N/A,<LQ,<LQ,<LQ,0.26,8.8,0.2,N/A,N/A,0.02
PARANÁ,00MS13AB2000,08/11/2016,09:55,2.0,N/A,<LQ,0.05,0.009,0.05,4.1,0.1,0.0002,N/A,0.01
PARANÁ,00MS13AB2000,07/02/2017,10:09,1.9,0.1,<LQ,0.05,0.005,0.05,3.6,0.1,0.0002,<LQ,0.01
PARANÁ,00MS13AB2000,11/05/2017,17:45,1.7,<LQ,<LQ,0.05,0.009,0.05,2.9,0.1,0.0002,<LQ,0.01
PARANÁ,00MS13AB2000,08/08/2017,16:08,N/A,<LQ,<LQ,0.05,0.011,0.05,3.6,0.1,0.0002,<LQ,0.01
PARANÁ,00MS13AB2000,13/11/2017,10:26,N/A,N/A,<LQ,0.05,0.011,0.05,2.6,N/A,0.0002,<LQ,0.01
PARANÁ,00MS13AB2000,08/02/2018,14:07,N/A,N/A,<LQ,0.05,0.006,0.05,1.6,0.1,0.0002,N/A,0.01
PARANÁ,00MS13AB2000,08/05/2018,10:35,1.0,N/A,0.005,0.02,0.008,0.03,2.2,0.1,0.0002,<LQ,0.01
PARANÁ,00MS13AB2000,02/08/2018,12:00,N/A,N/A,0.005,0.02,0.005,0.03,2.4,N/A,0.0002,<LQ,0.01
PARANÁ,00MS13AB2000,06/11/2018,10:10,0.5,N/A,0.005,0.02,0.024,0.03,2.6,N/A,0.0002,N/A,0.01
PARANÁ,00MS13AB2000,07/02/2019,10:43,2.0,<LQ,0.016,0.02,0.137,0.15,8.1,0.1,0.0002,N/A,0.04
PARANÁ,00MS13AB2000,07/05/2019,11:35,0.5,N/A,0.005,0.02,0.005,0.06,4.4,0.1,0.0002,0.070,0.01
PARANÁ,00MS13AB2000,06/08/2019,10:45,0.1,N/A,0.005,0.02,0.050,0.03,2.0,0.1,0.0002,0.020,0.01
PARANÁ,00MS13AB2000,05/11/2019,11:40,1.6,N/A,0.005,0.02,0.005,0.05,6.4,N/A,0.0002,0.020,0.01
PARANÁ,00MS13AB2000,04/02/2020,09:07,1.0,N/A,0.005,0.09,0.018,0.03,2.2,0.1,0.0002,N/A,0.04
PARANÁ,00MS13AB2000,02/12/2021,09:53,0.5,N/A,0.005,0.02,0.013,0.03,2.3,N/A,0.0002,0.100,0.01
PARANÁ,00MS13AB2000,03/03/2022,08:44,1.9,0.0,0.005,0.03,0.016,0.03,2.4,0.1,N/A,N/A,0.04
PARANÁ,00MS13AB2000,01/06/2022,11:00,3.4,0.0,0.005,0.02,0.017,0.03,10.7,0.1,N/A,0.020,0.01
PARANÁ,00MS13AB2000,01/09/2022,11:55,0.7,0.0,0.005,0.02,0.014,0.03,1.6,0.1,N/A,0.020,0.02
PARANÁ,00MS13BL2024,19/04/2011,14:30,3.5,0.1,<LQ,<LQ,<LQ,<LQ,0.6,<LQ,N/A,0.020,0.13
PARANÁ,00MS13BL2024,29/08/2013,14:00,0.6,0.1,<LQ,<LQ,<LQ,<LQ,<LQ,<LQ,<LQ,<LQ,0.02
PARANÁ,00MS13BL2024,27/03/2014,14:00,N/A,N/A,<LQ,<LQ,0.012,0.12,4.4,0.1,N/A,<LQ,0.03
PARANÁ,00MS13BL2024,26/06/2014,13:40,N/A,N/A,<LQ,<LQ,0.024,<LQ,1.5,0.1,N/A,N/A,0.02
PARANÁ,00MS13BL2024,16/09/2014,14:00,N/A,N/A,<LQ,<LQ,<LQ,<LQ,3.9,0.1,N/A,N/A,<LQ
PARANÁ,00MS13BL2024,22/11/2016,13:53,0.8,N/A,<LQ,0.05,0.005,0.05,1.4,0.1,0.0002,N/A,0.01
PARANÁ,00MS13BL2024,14/02/2017,13:10,0.2,<LQ,<LQ,0.05,0.030,0.05,0.9,<LQ,0.0002,<LQ,0.25
PARANÁ,00MS13BL2024,18/05/2017,16:47,0.1,<LQ,<LQ,0.05,0.005,0.05,0.4,<LQ,0.0002,<LQ,0.01
PARANÁ,00MS13BL2024,10/08/2017,15:22,N/A,<LQ,<LQ,0.05,0.005,0.05,0.2,<LQ,0.0002,<LQ,0.01
PARANÁ,00MS13BL2024,16/11/2017,10:45,N/A,N/A,<LQ,0.05,0.006,0.05,1.3,N/A,0.0002,<LQ,0.01
PARANÁ,00MS13BL2024,15/02/2018,12:32,N/A,N/A,<LQ,0.05,0.005,0.05,0.8,0.1,0.0002,N/A,0.01
PARANÁ,00MS13BL2024,15/05/2018,13:32,N/A,N/A,0.005,0.02,0.006,0.05,0.3,0.1,0.0002,<LQ,0.02
PARANÁ,00MS13BL2024,09/08/2018,13:55,N/A,N/A,0.005,0.02,0.007,0.03,0.3,N/A,0.0002,<LQ,0.01
PARANÁ,00MS13BL2024,13/11/2018,10:13,0.2,N/A,0.005,0.02,0.005,0.03,11.5,N/A,0.0002,N/A,0.01
PARANÁ,00MS13BL2024,12/02/2019,09:50,0.1,<LQ,0.018,0.02,0.224,0.27,0.8,0.1,0.0002,N/A,0.02
PARANÁ,00MS13BL2024,14/05/2019,11:32,0.1,N/A,0.005,0.02,0.035,0.03,1.5,0.1,0.0002,0.060,0.13
PARANÁ,00MS13BL2024,13/08/2019,11:35,0.1,N/A,0.005,0.02,0.022,0.03,0.2,0.1,0.0002,0.020,0.02
PARANÁ,00MS13BL2024,12/11/2019,09:07,0.3,N/A,0.005,0.02,0.005,0.03,1.9,N/A,0.0002,0.020,0.01
PARANÁ,00MS13BL2024,11/02/2020,14:37,0.1,N/A,0.005,0.02,0.011,0.03,1.4,0.1,0.0002,N/A,0.01
PARANÁ,00MS13BL2024,07/12/2021,13:50,0.1,N/A,0.005,0.02,0.018,0.03,1.0,N/A,0.0002,0.050,0.02
PARANÁ,00MS13BL2024,10/03/2022,13:48,1.5,0.3,0.010,0.02,0.022,0.03,1.6,0.1,N/A,N/A,0.06
PARANÁ,00MS13BL2024,08/06/2022,09:36,0.4,0.0,0.005,0.02,0.005,0.03,0.7,0.1,N/A,0.020,0.01
PARANÁ,00MS13BL2024,15/09/2022,12:15,0.1,0.0,0.005,0.02,0.005,0.03,1.3,0.1,N/A,0.020,0.02
PARANÁ,00MS13BL2048,19/04/2011,13:15,3.6,0.1,<LQ,<LQ,<LQ,<LQ,0.8,<LQ,N/A,0.020,0.08
PARANÁ,00MS13BL2048,29/08/2013,12:40,0.6,0.1,<LQ,<LQ,<LQ,<LQ,7.3,<LQ,<LQ,<LQ,0.04
PARANÁ,00MS13BL2048,27/03/2014,12:40,N/A,N/A,<LQ,<LQ,0.011,0.05,0.8,0.2,N/A,<LQ,0.02
PARANÁ,00MS13BL2048,26/06/2014,11:25,N/A,N/A,<LQ,<LQ,0.027,<LQ,2.0,0.1,N/A,N/A,0.03
PARANÁ,00MS13BL2048,16/09/2014,11:20,N/A,N/A,<LQ,<LQ,<LQ,<LQ,5.7,0.2,N/A,N/A,0.01
PARANÁ,00MS13BL2048,22/11/2016,10:30,1.6,N/A,<LQ,0.05,0.014,0.05,1.7,0.1,0.0002,N/A,0.01
PARANÁ,00MS13BL2048,14/02/2017,13:57,2.7,0.0,<LQ,0.05,0.005,0.05,4.0,0.1,0.0002,<LQ,0.10
PARANÁ,00MS13BL2048,18/05/2017,14:44,1.0,<LQ,<LQ,0.05,0.006,0.05,1.5,0.1,0.0002,<LQ,0.01
PARANÁ,00MS13BL2048,10/08/2017,13:08,<LQ,N/A,<LQ,0.05,0.005,0.05,1.0,0.1,0.0002,<LQ,0.01
PARANÁ,00MS13BL2048,16/11/2017,09:10,N/A,N/A,<LQ,0.05,0.007,0.05,1.5,N/A,0.0002,<LQ,0.01
PARANÁ,00MS13BL2048,15/02/2018,10:00,N/A,N/A,<LQ,0.05,0.006,0.05,3.2,0.1,0.0002,N/A,0.01
PARANÁ,00MS13BL2048,15/05/2018,10:26,N/A,N/A,0.005,0.02,0.009,0.03,0.8,0.1,0.0002,<LQ,0.02
PARANÁ,00MS13BL2048,09/08/2018,10:24,N/A,N/A,0.005,0.02,0.005,0.03,2.6,N/A,0.0002,<LQ,0.01
PARANÁ,00MS13BL2048,13/11/2018,08:48,0.5,N/A,0.005,0.02,0.005,0.03,1.9,N/A,0.0002,N/A,0.01
PARANÁ,00MS13BL2048,12/02/2019,12:17,0.1,<LQ,0.021,0.02,0.220,0.27,1.3,0.1,0.0002,N/A,0.03
PARANÁ,00MS13BL2048,14/05/2019,13:26,1.4,N/A,0.005,0.02,0.005,0.03,2.5,0.1,0.0002,0.060,0.03
PARANÁ,00MS13BL2048,13/08/2019,10:48,0.1,N/A,0.005,0.02,0.022,0.03,0.8,0.1,0.0002,0.020,0.01
PARANÁ,00MS13BL2048,12/11/2019,11:21,4.1,N/A,0.005,0.02,0.006,0.03,2.4,N/A,0.0002,0.020,0.02
PARANÁ,00MS13BL2048,11/02/2020,13:05,2.1,N/A,0.005,0.02,0.016,0.03,4.1,0.1,0.0002,N/A,0.03
PARANÁ,00MS13BL2048,07/12/2021,11:15,0.1,N/A,0.005,0.02,0.006,0.03,0.3,N/A,0.0002,0.020,0.19
PARANÁ,00MS13BL2048,10/03/2022,10:56,2.4,0.1,0.005,0.02,0.033,0.03,1.9,0.1,N/A,N/A,0.25
PARANÁ,00MS13BL2048,08/06/2022,10:57,1.0,0.0,0.005,0.02,0.005,0.03,1.1,0.1,N/A,0.020,0.01
PARANÁ,00MS13BL2048,15/09/2022,12:17,1.9,0.0,0.005,0.02,0.005,0.03,0.0,0.1,N/A,0.020,0.02
PARANÁ,00MS13BL2052,19/04/2011,11:12,4.0,0.0,<LQ,<LQ,<LQ,<LQ,1.3,0.1,N/A,0.020,<LQ
PARANÁ,00MS13BL2052,29/08/2013,11:30,0.7,0.1,<LQ,<LQ,<LQ,<LQ,0.1,<LQ,<LQ,<LQ,<LQ
PARANÁ,00MS13BL2052,27/03/2014,12:10,N/A,N/A,<LQ,<LQ,0.012,0.11,2.0,0.1,N/A,<LQ,0.01
PARANÁ,00MS13BL2052,26/06/2014,11:00,N/A,N/A,<LQ,<LQ,0.030,<LQ,2.5,0.1,N/A,N/A,0.05
PARANÁ,00MS13BL2052,16/09/2014,10:45,N/A,N/A,<LQ,<LQ,<LQ,<LQ,2.7,0.1,N/A,N/A,0.05
PARANÁ,00MS13BL2052,22/11/2016,09:51,1.7,N/A,<LQ,0.05,0.014,0.05,2.0,0.1,0.0002,N/A,0.01
PARANÁ,00MS13BL2052,14/02/2017,11:05,3.9,<LQ,<LQ,0.05,0.005,0.05,3.9,<LQ,0.0002,<LQ,0.11
PARANÁ,00MS13BL2052,18/05/2017,11:50,1.5,<LQ,<LQ,0.05,0.009,0.05,1.8,0.1,0.0002,<LQ,0.01
PARANÁ,00MS13BL2052,10/08/2017,10:10,<LQ,<LQ,<LQ,0.05,0.005,0.05,0.9,<LQ,0.0002,<LQ,0.01
PARANÁ,00MS13BL2052,16/11/2017,09:51,N/A,N/A,<LQ,0.05,0.008,0.05,1.7,N/A,0.0002,<LQ,0.01
PARANÁ,00MS13BL2052,15/02/2018,09:33,N/A,N/A,<LQ,0.05,0.005,0.05,1.3,0.1,0.0002,N/A,0.01
PARANÁ,00MS13BL2052,15/05/2018,09:56,N/A,N/A,0.005,0.02,0.005,0.03,0.9,0.1,0.0002,<LQ,0.01
PARANÁ,00MS13BL2052,09/08/2018,09:55,N/A,N/A,0.005,0.02,0.007,0.03,1.9,N/A,0.0003,<LQ,0.01
PARANÁ,00MS13BL2052,13/11/2018,09:18,0.4,N/A,0.005,0.02,0.009,0.03,1.5,N/A,0.0002,N/A,0.01
